Header format=1 ntrks=1 division=384
Track start
Time=0  Tempo, microseconds-per-MIDI-quarter-note=500000
Time=0  Time signature=4/4  MIDI-clocks/click=32  32nd-notes/24-MIDI-clocks=0
Time=0  Meta Text, type=0x03 (Sequence/Track Name)  leng=8
     Text = <Track 1\0x00>
Time=1152  Parameter, chan=1 c1=0 c2=0
Time=1152  Parameter, chan=1 c1=7 c2=100
Time=1152  Parameter, chan=1 c1=10 c2=64
Time=1153  Parameter, chan=1 c1=32 c2=0
Time=1154  Program, chan=1 program=0
Time=1156  Parameter, chan=1 c1=11 c2=105
Time=1156  Parameter, chan=1 c1=91 c2=80
Time=1156  Parameter, chan=1 c1=93 c2=0
Time=1528  Note on, chan=1 pitch=92 vol=110
Time=1532  Note on, chan=1 pitch=80 vol=89
Time=1544  Note on, chan=1 pitch=56 vol=85
Time=1548  Note on, chan=1 pitch=55 vol=98
Time=1548  Note on, chan=1 pitch=60 vol=89
Time=2080  Note on, chan=1 pitch=92 vol=0
Time=2084  Note on, chan=1 pitch=55 vol=0
Time=2088  Note on, chan=1 pitch=80 vol=0
Time=2092  Note on, chan=1 pitch=60 vol=0
Time=2092  Note on, chan=1 pitch=56 vol=0
Time=2184  Note on, chan=1 pitch=92 vol=110
Time=2184  Note on, chan=1 pitch=80 vol=89
Time=2188  Note on, chan=1 pitch=56 vol=89
Time=2192  Note on, chan=1 pitch=60 vol=85
Time=2200  Note on, chan=1 pitch=55 vol=98
Time=2228  Note on, chan=1 pitch=60 vol=0
Time=2236  Note on, chan=1 pitch=55 vol=0
Time=2248  Note on, chan=1 pitch=56 vol=0
Time=2248  Note on, chan=1 pitch=80 vol=0
Time=2256  Note on, chan=1 pitch=92 vol=0
Time=2964  Note on, chan=1 pitch=83 vol=110
Time=2968  Note on, chan=1 pitch=89 vol=98
Time=2968  Note on, chan=1 pitch=53 vol=93
Time=2972  Note on, chan=1 pitch=59 vol=89
Time=3032  Note on, chan=1 pitch=59 vol=0
Time=3032  Note on, chan=1 pitch=53 vol=0
Time=3044  Note on, chan=1 pitch=89 vol=0
Time=3080  Note on, chan=1 pitch=84 vol=51
Time=3096  Note on, chan=1 pitch=83 vol=0
Time=3112  Note on, chan=1 pitch=89 vol=73
Time=3120  Note on, chan=1 pitch=84 vol=0
Time=3168  Note on, chan=1 pitch=84 vol=76
Time=3220  Note on, chan=1 pitch=83 vol=98
Time=3232  Note on, chan=1 pitch=89 vol=0
Time=3248  Note on, chan=1 pitch=84 vol=0
Time=3304  Note on, chan=1 pitch=83 vol=0
Time=3332  Note on, chan=1 pitch=77 vol=79
Time=3368  Note on, chan=1 pitch=77 vol=0
Time=3436  Note on, chan=1 pitch=82 vol=98
